nitems;find;prove;profit;split;first;last;ns;sol
int;int;int;int;int;int;int;int;string
5;0;0;1771;5;4;3;3;11100
5;7;7;937;5;2;4;3;10110
5;0;0;1749;5;4;3;3;11100
5;1;1;1284;4;3;4;3;11010
5;0;0;1698;5;4;3;3;11100
5;0;0;1870;5;4;3;3;11100
5;0;0;2459;5;4;3;3;11100
5;1;1;1166;4;3;4;3;11010
5;0;0;1405;4;3;2;2;11000
5;0;0;793;4;3;2;2;11000
5;0;0;2024;5;4;3;3;11100
5;0;0;2091;5;4;3;3;11100
5;2;2;1542;4;3;5;3;11001
5;0;0;2268;5;4;3;3;11100
5;0;0;1122;5;4;3;3;11100
5;2;2;1646;4;3;5;3;11001
5;1;1;2942;5;4;5;4;11101
5;0;0;1977;5;4;3;3;11100
5;0;0;1999;5;4;3;3;11100
5;0;0;2267;5;4;3;3;11100
5;0;0;2373;5;4;3;3;11100
5;1;1;1838;4;3;4;3;11010
5;1;1;1642;4;3;4;3;11010
5;0;0;825;5;4;3;3;11100
5;0;0;2101;5;4;3;3;11100
5;2;2;1552;4;3;5;3;11001
5;13;13;1561;4;1;4;2;01010
5;0;0;1493;5;4;3;3;11100
5;4;4;1490;5;3;5;3;11001
5;0;0;1199;5;4;3;3;11100
5;0;0;840;5;4;3;3;11100
5;0;0;1964;5;4;3;3;11100
5;0;0;1874;4;3;2;2;11000
5;0;0;1404;5;4;3;3;11100
5;0;0;1034;5;4;3;3;11100
5;4;4;1740;4;2;3;2;10100
5;0;0;2053;5;4;3;3;11100
5;0;0;1243;4;3;2;2;11000
5;7;7;1252;4;2;4;2;10010
5;1;1;2103;5;4;5;4;11101
5;6;6;1172;5;2;4;3;10110
5;2;2;792;4;3;5;3;11001
5;0;0;2294;5;4;3;3;11100
5;1;1;1465;4;3;4;3;11010
5;5;5;2027;4;2;4;3;10110
5;3;3;1184;5;3;4;3;11010
5;0;0;1818;4;3;2;2;11000
5;9;9;1721;4;1;3;2;01100
5;3;3;2053;5;3;4;3;11010
5;0;0;1707;5;4;3;3;11100
5;4;4;1570;4;2;3;2;10100
5;0;0;1731;5;4;3;3;11100
5;0;0;1647;5;4;3;3;11100
5;4;4;1542;4;2;3;2;10100
5;2;2;1104;4;3;5;3;11001
5;0;0;2204;6;5;4;4;11110
5;0;0;1665;4;3;2;2;11000
5;5;5;1153;4;2;4;3;10110
5;7;7;2792;5;2;4;3;10110
5;8;8;1757;4;2;4;2;10010
5;0;0;1293;4;3;2;2;11000
5;1;1;1936;4;3;4;3;11010
5;0;0;1463;4;3;2;2;11000
5;1;1;1618;5;4;5;4;11101
5;1;1;1776;4;3;4;3;11010
5;0;0;1465;6;5;4;4;11110
5;1;1;1710;4;3;4;3;11010
5;5;5;1967;4;2;4;3;10110
5;6;6;1384;4;2;5;3;10101
5;0;0;2359;5;4;3;3;11100
5;8;8;1300;4;2;5;3;10011
5;5;5;1652;4;2;4;3;10110
5;0;0;2221;6;5;4;4;11110
5;0;0;1487;4;3;2;2;11000
5;6;6;1346;4;2;5;3;10101
5;0;0;1854;5;4;3;3;11100
5;0;0;1598;4;3;2;2;11000
5;0;0;1583;5;4;3;3;11100
5;0;0;846;5;4;3;3;11100
5;1;1;1570;4;3;4;3;11010
5;0;0;1767;5;4;3;3;11100
5;0;0;1968;5;4;3;3;11100
5;2;2;1159;4;3;5;3;11001
5;1;1;1656;4;3;4;3;11010
5;0;0;1373;5;4;3;3;11100
5;10;10;1842;4;1;3;2;01100
5;0;0;1463;5;4;3;3;11100
5;0;0;1416;5;4;3;3;11100
5;1;1;771;4;3;4;3;11010
5;0;0;1825;5;4;3;3;11100
5;0;0;1940;5;4;3;3;11100
5;0;0;2086;5;4;3;3;11100
5;0;0;1780;5;4;3;3;11100
5;2;2;1451;4;3;5;3;11001
5;0;0;963;4;3;2;2;11000
5;0;0;1902;5;4;3;3;11100
5;0;0;1646;4;3;2;2;11000
5;0;0;1760;5;4;3;3;11100
5;0;0;2226;5;4;3;3;11100
5;5;5;1687;4;2;3;2;10100
5;5;5;1781;4;2;3;2;10100
5;0;0;2107;5;4;3;3;11100
5;2;2;1613;4;3;5;3;11001
5;2;2;1383;4;3;5;3;11001
5;1;1;1064;4;3;4;3;11010
5;15;15;1759;4;1;4;2;01010
5;0;0;2442;5;4;3;3;11100
5;0;0;1913;5;4;3;3;11100
5;19;19;1547;5;1;5;2;01001
5;3;3;1864;5;3;4;3;11010
5;6;6;1482;4;2;3;2;10100
5;9;9;1002;4;1;3;2;01100
5;0;0;1665;5;4;3;3;11100
5;1;1;1680;4;3;4;3;11010
5;2;2;865;4;3;5;3;11001
5;0;0;1968;5;4;3;3;11100
5;3;3;2359;5;3;4;3;11010
5;0;0;2732;5;4;3;3;11100
5;1;1;1473;4;3;4;3;11010
5;0;0;1989;5;4;3;3;11100
5;7;7;1214;5;2;4;3;10110
5;1;1;1121;4;3;4;3;11010
5;2;2;1631;4;3;5;3;11001
5;0;0;1673;5;4;3;3;11100
5;3;3;1842;5;3;4;3;11010
5;0;0;1485;5;4;3;3;11100
5;0;0;2023;5;4;3;3;11100
5;3;3;2443;5;3;4;3;11010
5;1;1;1298;4;3;4;3;11010
5;0;0;1396;5;4;3;3;11100
5;0;0;967;5;4;3;3;11100
5;1;1;1256;4;3;5;4;11011
5;6;6;1768;4;2;5;3;10101
5;1;1;1192;4;3;4;3;11010
5;2;2;1584;4;3;5;3;11001
5;11;11;1477;4;1;3;2;01100
5;0;0;1197;4;3;2;2;11000
5;0;0;1915;5;4;3;3;11100
5;0;0;2162;5;4;3;3;11100
5;0;0;2474;5;4;3;3;11100
5;0;0;1970;5;4;3;3;11100
5;0;0;1420;5;4;3;3;11100
5;0;0;2044;5;4;3;3;11100
5;1;1;1797;4;3;4;3;11010
5;5;5;960;4;2;4;3;10110
5;5;5;1553;4;2;4;3;10110
5;0;0;2272;5;4;3;3;11100
5;0;0;1334;5;4;3;3;11100
5;0;0;1385;4;3;2;2;11000
5;0;0;2316;5;4;3;3;11100
5;0;0;2224;5;4;3;3;11100
5;0;0;2326;6;5;4;4;11110
5;0;0;2419;5;4;3;3;11100
5;0;0;1635;5;4;3;3;11100
5;1;1;1512;4;3;4;3;11010
5;0;0;2080;5;4;3;3;11100
5;0;0;2045;5;4;3;3;11100
5;0;0;1376;4;3;2;2;11000
5;1;1;1450;4;3;4;3;11010
5;0;0;1431;5;4;3;3;11100
5;0;0;2023;5;4;3;3;11100
5;0;0;1825;5;4;3;3;11100
5;6;6;1569;4;2;5;3;10101
5;1;1;1697;4;3;4;3;11010
5;3;3;1669;5;3;4;3;11010
5;0;0;1483;4;3;2;2;11000
5;0;0;1732;5;4;3;3;11100
5;6;6;1782;4;2;3;2;10100
5;6;6;1556;4;2;3;2;10100
5;2;2;1279;4;3;5;3;11001
5;0;0;1210;5;4;3;3;11100
5;0;0;2049;5;4;3;3;11100
5;0;0;2028;5;4;3;3;11100
5;5;5;1533;4;2;3;2;10100
5;0;0;2388;5;4;3;3;11100
5;0;0;1640;5;4;3;3;11100
5;0;0;1794;5;4;3;3;11100
5;0;0;1736;5;4;3;3;11100
5;0;0;2165;5;4;3;3;11100
5;2;2;1337;4;3;5;3;11001
5;1;1;960;3;2;4;3;10110
5;11;11;1644;4;1;3;2;01100
5;0;0;1422;5;4;3;3;11100
5;0;0;1751;5;4;3;3;11100
5;5;5;1489;4;2;4;3;10110
5;0;0;2480;5;4;3;3;11100
5;0;0;2016;5;4;3;3;11100
