mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
3;1;2;90;7;219;19574542;75.712;27959
0;1;2;90;3;130;14144202091;119.873;15652
0;3;2;60;9;221;7204699126;50.445;15650
0;3;2;60;2;323;8595890122;96.743;14161
3;1;2;110;1;200;35690641;225.420;44686
3;3;3;30;5;1896;3159883;3.480;19218
3;3;3;30;7;1744;3227997;2.247;19228
3;3;3;30;8;1034;2036126;1.053;12618
0;3;3;30;9;688;1212259771;7.798;10920
0;1;3;50;5;558;9838287912;91.832;17439
0;1;2;110;4;190;41768525113;549.046;24509
0;1;3;50;6;841;28119261972;557.127;36598
3;3;3;40;6;3244;19579783;80.111;68761
3;1;3;70;9;1644;42167703;443.302;96884
0;3;3;40;8;3414;38515622076;776.260;46988
3;1;3;90;3;4316;174737779;6332.890;290485
0;1;3;70;2;1070;214293677225;7488.843;81362
3;3;3;50;6;7974;77149754;1250.177;201314
3;3;3;50;8;4860;38555397;255.409;128709
3;3;3;50;9;4292;37302551;229.936;119709
0;3;3;40;6;3244;104178892301;2698.320;68761
3;1;3;90;6;5825;365515291;30317.286;512330
3;3;3;60;1;7300;137033612;4678.852;356953
0;1;4;10;6;13;7521;0.000;30
3;1;4;10;6;13;979;0.000;30
0;1;4;10;7;8;5995;0.000;28
3;1;4;10;7;8;954;0.000;28
0;1;4;10;8;13;16615;0.000;53
3;1;4;10;8;13;1814;0.000;53
0;1;4;10;9;8;13531;0.000;51
3;1;4;10;9;8;1560;0.000;51
0;3;4;10;0;21;50127;0.000;89
3;3;4;10;0;21;3363;0.000;89
0;3;4;10;1;32;34274;0.000;75
3;3;4;10;1;32;2814;0.000;75
0;3;4;10;2;15;11491;0.000;39
3;3;4;10;2;15;1321;0.000;39
0;3;4;10;3;8;9346;0.000;32
3;3;4;10;3;8;1165;0.000;32
3;3;3;60;3;14141;240722282;11106.251;590045
3;3;4;10;9;12;2992;0.000;94
3;1;4;30;0;339;1384675;0.251;4050
0;1;4;30;1;455;1350288874;9.060;9339
3;1;4;30;5;559;14036751;0.933;6178
0;1;4;30;6;111;38882360;0.175;1656
3;1;4;30;6;111;465404;0.054;1656
0;1;4;30;7;173;48613113;0.233;1856
3;1;4;30;7;173;365358;0.058;1856
0;1;4;30;8;529;299471235;1.842;5655
3;1;4;30;8;529;2367450;0.358;5655
3;1;4;30;9;291;868974;0.243;3584
0;3;4;20;0;426;44120603;0.222;2167
3;3;4;20;0;426;384036;0.052;2167
0;3;4;20;1;728;114874844;0.626;4289
3;3;4;20;2;184;125359;0.020;1166
3;3;4;20;3;236;178791;0.031;1657
0;3;4;20;4;208;48869334;0.260;2558
