chub5
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
250;10;0.25;9;9;58701;59387;250;1.350238
250;10;0.25;10;0;58588;59208;181;1.425455
250;10;0.25;10;1;58474;59208;37;1.031059
250;10;0.25;10;2;58397;59208;254;1.302872
250;10;0.25;10;3;58451;59208;78;1.140411
250;10;0.25;10;4;58418;59208;163;1.009881
250;10;0.25;10;5;58581;59208;70;1.008784
250;10;0.25;10;6;58520;59208;293;1.008248
250;10;0.25;10;7;58367;59208;90;1.012031
250;10;0.25;10;8;58542;59208;160;1.116350
250;10;0.25;10;9;58481;59208;79;1.304314
250;30;0.25;1;0;55706;56842;270;1.877153
250;30;0.25;1;1;55949;56842;248;2.049930
250;30;0.25;1;2;55365;56842;192;1.717933
250;30;0.25;1;3;55545;56842;202;1.739104
250;30;0.25;1;4;55539;56842;286;2.056584
250;30;0.25;1;5;55796;56842;286;1.682599
250;30;0.25;1;6;55698;56842;230;1.252209
250;30;0.25;1;7;55621;56842;282;1.576523
250;30;0.25;1;8;55653;56842;243;1.272060
250;30;0.25;1;9;55758;56842;231;1.235341
250;30;0.25;2;0;57114;58520;121;2.213870
250;30;0.25;2;1;56981;58520;239;1.587543
250;30;0.25;2;2;56820;58520;84;1.639048
250;30;0.25;2;3;56846;58520;26;2.103537
250;30;0.25;2;4;56757;58520;24;1.673132
250;30;0.25;2;5;56757;58520;172;1.604134
250;30;0.25;2;6;56631;58520;18;1.604591
250;30;0.25;2;7;56657;58520;263;1.611623
250;30;0.25;2;8;56767;58520;142;1.720989
250;30;0.25;2;9;56712;58520;283;2.079450
250;30;0.25;3;0;55004;56614;3;2.366878
250;30;0.25;3;1;54934;56614;92;2.012380
250;30;0.25;3;2;55074;56614;123;2.275289
250;30;0.25;3;3;54914;56614;214;2.367976
250;30;0.25;3;4;54923;56614;265;1.901955
250;30;0.25;3;5;55102;56614;213;2.079907
250;30;0.25;3;6;55229;56614;199;2.320199
250;30;0.25;3;7;55201;56614;238;2.007337
250;30;0.25;3;8;54866;56614;224;2.435062
250;30;0.25;3;9;55495;56614;231;2.358358
250;30;0.25;4;0;55003;56930;156;1.608379
250;30;0.25;4;1;55170;56930;206;1.481931
250;30;0.25;4;2;55145;56930;24;1.487782
250;30;0.25;4;3;55133;56930;214;1.479065
250;30;0.25;4;4;55141;56930;44;1.495475
250;30;0.25;4;5;55153;56930;115;1.752639
250;30;0.25;4;6;54860;56930;54;1.900477
250;30;0.25;4;7;55107;56930;154;1.475193
250;30;0.25;4;8;55231;56930;274;1.503318
250;30;0.25;4;9;55061;56930;78;1.483437
250;30;0.25;5;0;55207;56629;295;1.288428
250;30;0.25;5;1;55580;56629;238;1.601505
250;30;0.25;5;2;55024;56629;263;1.812295
250;30;0.25;5;3;55118;56629;160;1.868779
250;30;0.25;5;4;54950;56629;156;2.108596
250;30;0.25;5;5;55521;56629;250;1.779755
250;30;0.25;5;6;55083;56629;150;1.968526
250;30;0.25;5;7;55637;56629;286;1.854837
250;30;0.25;5;8;55404;56629;247;1.706146
