chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;10;0.50;7;7;43435;43574;3;0.189974
100;10;0.50;7;8;43435;43574;43;0.234369
100;10;0.50;7;9;43435;43574;17;0.237998
100;10;0.50;8;0;42914;42970;16;0.261229
100;10;0.50;8;1;42970;42970;0;0.232600
100;10;0.50;8;2;42970;42970;20;0.269879
100;10;0.50;8;3;42970;42970;28;0.277607
100;10;0.50;8;4;42970;42970;23;0.257578
100;10;0.50;8;5;42914;42970;4;0.188914
100;10;0.50;8;6;42970;42970;4;0.195441
100;10;0.50;8;7;42970;42970;27;0.234101
100;10;0.50;8;8;42970;42970;0;0.186770
100;10;0.50;8;9;42970;42970;0;0.185794
100;10;0.50;9;0;42212;42212;0;0.197409
100;10;0.50;9;1;42212;42212;5;0.192932
100;10;0.50;9;2;42212;42212;55;0.239622
100;10;0.50;9;3;42212;42212;4;0.188438
100;10;0.50;9;4;42212;42212;2;0.195961
100;10;0.50;9;5;42212;42212;0;0.218991
100;10;0.50;9;6;42212;42212;72;0.280806
100;10;0.50;9;7;42212;42212;0;0.232154
100;10;0.50;9;8;42212;42212;2;0.207640
100;10;0.50;9;9;42212;42212;12;0.231458
100;10;0.50;10;0;41050;41207;1;0.251984
100;10;0.50;10;1;41050;41207;11;0.268524
100;10;0.50;10;2;41050;41207;6;0.276342
100;10;0.50;10;3;41050;41207;14;0.254334
100;10;0.50;10;4;41050;41207;23;0.335730
100;10;0.50;10;5;41050;41207;15;0.302876
100;10;0.50;10;6;41050;41207;9;0.274617
100;10;0.50;10;7;41050;41207;28;0.237537
100;10;0.50;10;8;41050;41207;48;0.245574
100;10;0.50;10;9;41050;41207;7;0.237462
100;10;0.75;1;0;57375;57375;5;0.163962
100;10;0.75;1;1;57375;57375;2;0.170887
100;10;0.75;1;2;57375;57375;0;0.187675
100;10;0.75;1;3;57375;57375;3;0.171689
100;10;0.75;1;4;57375;57375;27;0.246551
100;10;0.75;1;5;57375;57375;3;0.226523
100;10;0.75;1;6;57375;57375;7;0.159583
100;10;0.75;1;7;57375;57375;7;0.178314
100;10;0.75;1;8;57375;57375;21;0.186739
100;10;0.75;1;9;57375;57375;0;0.170917
100;10;0.75;2;0;58978;58978;4;0.230334
100;10;0.75;2;1;58978;58978;7;0.276825
100;10;0.75;2;2;58978;58978;0;0.203673
100;10;0.75;2;3;58978;58978;8;0.221454
100;10;0.75;2;4;58978;58978;44;0.267764
100;10;0.75;2;5;58978;58978;22;0.253850
100;10;0.75;2;6;58978;58978;12;0.273720
100;10;0.75;2;7;58978;58978;0;0.246524
100;10;0.75;2;8;58978;58978;7;0.263138
100;10;0.75;2;9;58978;58978;16;0.244968
100;10;0.75;3;0;58310;58391;13;0.178931
100;10;0.75;3;1;58310;58391;4;0.163313
100;10;0.75;3;2;58310;58391;5;0.170169
