classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;
C;2;40;5;408933;82;530006;0.337;3045;2.440e+08;408935;8.926;58;2.424e+08;249078411;408936;10.747;58;2.424e+08;59619898;
C;2;40;6;408948;125;758949;0.569;3247;2.555e+08;408950;9.630;85;2.512e+08;245257518;408951;10.436;85;2.512e+08;50569379;
C;2;40;7;408963;167;2178970;3.785;7706;2.263e+08;408965;9.053;79;2.105e+08;251588866;408966;9.189;79;2.105e+08;91837248;
C;2;40;8;408978;72;518481;0.327;2106;2.597e+08;408980;8.964;29;2.519e+08;249127634;408981;10.832;29;2.519e+08;78603863;
C;2;40;9;408993;114;946064;0.912;4243;2.539e+08;408995;8.881;69;2.420e+08;246094036;408996;10.388;69;2.420e+08;45453480;
C;2;60;1;409007;233;5402009;14.477;14715;5.558e+08;409009;9.167;125;5.337e+08;243021229;409010;12.286;125;5.337e+08;53123843;
C;2;60;3;409023;307;7955159;51.210;18686;5.715e+08;409025;9.354;186;5.458e+08;241967145;409027;12.450;186;5.458e+08;52779621;
C;2;60;6;409039;308;6099493;18.723;13682;5.493e+08;409041;9.463;180;5.196e+08;245842596;409042;11.756;180;5.196e+08;43954273;
C;2;60;8;409053;177;3490248;6.903;8324;5.822e+08;409055;9.297;97;5.567e+08;246609402;409056;12.360;97;5.567e+08;52892117;
C;2;60;9;409068;274;6970452;34.102;18110;5.451e+08;409072;9.381;165;5.252e+08;247950663;409073;11.465;165;5.252e+08;42120367;
C;2;100;8;408665;364;43613366;1208.340;58529;1.588e+09;409091;17.981;255;1.499e+09;246417844;409092;14.497;255;1.499e+09;50198038;
C;2;80;2;409104;313;17876571;142.434;30781;1.067e+09;409110;9.596;179;1.011e+09;248860070;409111;13.828;179;1.011e+09;47729120;
C;2;80;1;409084;469;25142693;317.817;43643;9.812e+08;409114;9.534;183;9.124e+08;248167232;409126;13.872;183;9.124e+08;50662709;
C;2;80;4;409137;257;16366184;106.528;29770;9.774e+08;409143;9.726;107;9.312e+08;251014246;409145;13.223;107;9.312e+08;51622162;
C;2;80;5;409157;277;17144945;117.060;28885;9.975e+08;409162;9.555;122;9.556e+08;241258911;409163;13.815;122;9.556e+08;56291442;
C;2;80;6;409174;400;23682030;411.404;42880;9.811e+08;409191;9.767;173;9.294e+08;248324679;409192;12.606;173;9.294e+08;48151867;
C;2;80;8;409203;250;15601516;105.138;26781;1.014e+09;409210;9.854;173;9.596e+08;245892240;409212;13.706;173;9.596e+08;58789585;
C;2;80;3;409125;556;37024778;1119.404;61579;9.921e+08;409234;9.768;230;9.243e+08;249193706;409235;13.444;230;9.243e+08;53691673;
D;2;20;1;409316;192;150276;0.075;1767;4.515e+07;409318;9.354;192;4.515e+07;265685895;409319;3.863;192;4.515e+07;59277033;
